CaseID,ActivityID,CompleteTimestamp,Resource
Case No. 1,0,2018-05-14 05:42:32,0
Case No. 1,0,2018-05-14 05:42:32,0
Case No. 1,1,2018-05-14 05:53:18,0
Case No. 1,2,2018-05-14 06:04:01,0
Case No. 1,2,2018-05-14 06:24:35,0
Case No. 1,2,2018-05-14 06:45:19,0
Case No. 1,2,2018-05-14 06:49:06,0
Case No. 1,2,2018-05-14 07:37:54,0
Case No. 1,2,2018-05-14 07:53:30,0
Case No. 1,2,2018-05-14 08:10:57,0
Case No. 1,1,2018-05-14 09:01:12,0
Case No. 1,2,2018-05-14 09:09:30,0
Case No. 2,0,2018-05-14 05:26:31,0
Case No. 2,1,2018-05-14 05:34:31,0
Case No. 2,2,2018-05-14 05:55:24,0
Case No. 2,3,2018-05-14 06:39:59,1
Case No. 2,2,2018-05-14 06:57:09,0
Case No. 2,2,2018-05-14 07:06:49,0
Case No. 2,2,2018-05-14 07:09:49,0
Case No. 2,2,2018-05-14 07:18:59,0
Case No. 2,2,2018-05-14 07:47:52,0
Case No. 2,1,2018-05-14 08:00:55,0
Case No. 2,2,2018-05-14 08:27:06,0
Case No. 3,0,2018-05-14 09:23:36,0
Case No. 3,1,2018-05-14 09:26:53,0
Case No. 3,2,2018-05-14 09:29:04,0
Case No. 3,2,2018-05-14 09:34:09,0
Case No. 3,2,2018-05-14 10:23:20,0
Case No. 3,2,2018-05-14 10:55:32,0
Case No. 3,2,2018-05-14 11:07:18,0
Case No. 3,2,2018-05-14 11:30:35,0
Case No. 3,1,2018-05-14 12:04:57,0
Case No. 3,2,2018-05-14 12:14:45,0
Case No. 3,2,2018-05-14 13:02:35,0
Case No. 4,0,2018-05-14 09:17:25,0
Case No. 4,1,2018-05-14 09:44:59,0
Case No. 4,2,2018-05-14 09:47:11,2
Case No. 4,3,2018-05-14 10:17:06,1
Case No. 4,0,2018-05-14 10:25:23,0
Case No. 4,1,2018-05-14 10:53:40,0
Case No. 4,2,2018-05-14 11:09:22,0
Case No. 4,2,2018-05-14 11:19:17,0
Case No. 4,2,2018-05-14 11:37:43,0
Case No. 4,2,2018-05-14 11:52:05,0
Case No. 4,2,2018-05-14 12:41:49,0
Case No. 5,0,2018-05-14 13:22:40,1
Case No. 5,1,2018-05-14 13:55:48,0
Case No. 5,2,2018-05-14 14:15:54,0
Case No. 5,2,2018-05-14 14:18:40,0
Case No. 5,2,2018-05-14 14:20:06,0
Case No. 5,2,2018-05-14 14:25:15,0
Case No. 5,2,2018-05-14 14:33:51,0
Case No. 5,2,2018-05-14 16:26:52,0
Case No. 5,1,2018-05-14 16:31:02,0
Case No. 5,2,2018-05-14 16:44:07,0
Case No. 5,2,2018-05-14 16:44:34,0
Case No. 6,0,2018-05-14 05:27:43,0
Case No. 6,1,2018-05-14 05:38:17,0
Case No. 6,2,2018-05-14 06:06:23,0
Case No. 6,3,2018-05-14 06:50:36,3
Case No. 6,2,2018-05-14 06:55:23,0
Case No. 6,2,2018-05-14 07:39:34,0
Case No. 6,2,2018-05-14 08:08:23,0
Case No. 6,2,2018-05-14 08:14:08,0
Case No. 6,2,2018-05-14 08:22:10,0
Case No. 6,1,2018-05-14 09:00:33,0
Case No. 6,2,2018-05-14 09:10:04,0
Case No. 7,0,2018-05-14 17:26:06,2
Case No. 7,1,2018-05-14 18:07:14,0
Case No. 7,2,2018-05-14 18:25:34,0
Case No. 7,2,2018-05-14 18:30:56,0
Case No. 7,2,2018-05-14 18:36:52,0
Case No. 7,2,2018-05-14 18:54:47,0
Case No. 7,2,2018-05-14 19:15:59,0
Case No. 7,2,2018-05-14 19:18:31,0
Case No. 7,1,2018-05-14 19:55:27,0
Case No. 7,2,2018-05-14 19:55:59,0
Case No. 7,2,2018-05-14 20:40:09,0
Case No. 8,0,2018-05-14 13:31:48,0
Case No. 8,1,2018-05-14 13:32:51,0
Case No. 8,2,2018-05-14 13:40:04,0
Case No. 8,3,2018-05-14 13:52:41,1
Case No. 8,3,2018-05-14 14:05:36,0
Case No. 8,2,2018-05-14 15:05:15,0
Case No. 8,0,2018-05-14 15:24:55,0
Case No. 8,1,2018-05-14 15:29:58,0
Case No. 8,2,2018-05-14 15:38:59,1
Case No. 8,1,2018-05-14 16:28:59,0
Case No. 8,2,2018-05-14 16:53:05,0
Case No. 9,0,2018-05-14 05:41:05,0
Case No. 9,1,2018-05-14 05:52:00,1
Case No. 9,2,2018-05-14 05:57:16,0
Case No. 9,2,2018-05-14 06:14:42,0
Case No. 9,2,2018-05-14 06:54:35,0
Case No. 9,2,2018-05-14 07:02:42,0
Case No. 9,2,2018-05-14 07:14:29,0
Case No. 9,2,2018-05-14 07:23:14,0
Case No. 9,2,2018-05-14 07:34:23,0
Case No. 9,1,2018-05-14 08:44:09,4
Case No. 9,2,2018-05-14 08:54:53,4
Case No. 10,0,2018-05-14 09:26:04,0
Case No. 10,1,2018-05-14 09:39:29,0
Case No. 10,2,2018-05-14 09:53:15,2
Case No. 10,3,2018-05-14 10:02:24,3
Case No. 10,0,2018-05-14 10:13:53,0
Case No. 10,1,2018-05-14 10:44:50,0
Case No. 10,2,2018-05-14 10:56:44,0
Case No. 10,2,2018-05-14 11:04:56,0
Case No. 10,2,2018-05-14 11:17:26,0
Case No. 10,2,2018-05-14 11:24:16,0
Case No. 10,2,2018-05-14 13:02:10,0
Case No. 11,0,2018-05-14 21:21:08,3
Case No. 11,1,2018-05-14 21:33:52,0
Case No. 11,2,2018-05-14 22:05:44,0
Case No. 11,2,2018-05-14 23:24:00,0
Case No. 11,2,2018-05-14 23:44:12,0
Case No. 11,2,2018-05-15 00:14:28,0
Case No. 11,2,2018-05-15 00:21:46,0
Case No. 11,2,2018-05-15 00:23:33,0
Case No. 11,1,2018-05-15 00:26:03,0
Case No. 11,2,2018-05-15 00:52:58,0
Case No. 11,2,2018-05-15 01:00:32,0
Case No. 12,0,2018-05-14 17:54:59,0
Case No. 12,1,2018-05-14 18:03:45,0
Case No. 12,2,2018-05-14 18:21:38,0
Case No. 12,3,2018-05-14 18:52:00,1
Case No. 12,1,2018-05-14 19:05:44,0
Case No. 12,2,2018-05-14 19:19:42,0
Case No. 12,3,2018-05-14 19:51:47,0
Case No. 12,1,2018-05-14 19:53:11,0
Case No. 12,2,2018-05-14 20:18:58,0
Case No. 12,1,2018-05-14 20:44:55,0
Case No. 12,2,2018-05-14 21:07:45,0
Case No. 13,0,2018-05-15 01:59:04,4
Case No. 13,1,2018-05-15 02:17:18,0
Case No. 13,2,2018-05-15 02:28:47,0
Case No. 13,2,2018-05-15 02:35:37,0
Case No. 13,2,2018-05-15 03:00:22,0
Case No. 13,2,2018-05-15 03:06:53,0
Case No. 13,2,2018-05-15 03:40:08,0
Case No. 13,2,2018-05-15 03:45:56,0
Case No. 13,1,2018-05-15 03:49:45,0
Case No. 13,2,2018-05-15 04:00:09,0
Case No. 13,2,2018-05-15 04:40:25,0
Case No. 14,0,2018-05-14 21:28:36,0
Case No. 14,1,2018-05-14 22:14:50,0
Case No. 14,2,2018-05-14 22:42:33,0
Case No. 14,3,2018-05-14 22:44:35,1
Case No. 14,1,2018-05-14 23:03:56,0
Case No. 14,2,2018-05-14 23:28:51,0
Case No. 14,3,2018-05-14 23:36:00,0
Case No. 14,1,2018-05-14 23:56:05,0
Case No. 14,2,2018-05-15 00:12:14,0
Case No. 14,1,2018-05-15 00:51:12,1
Case No. 14,2,2018-05-15 01:02:54,0
Case No. 15,0,2018-05-15 05:18:10,3
Case No. 15,1,2018-05-15 05:27:15,1
Case No. 15,2,2018-05-15 05:58:01,0
Case No. 15,2,2018-05-15 06:38:02,0
Case No. 15,2,2018-05-15 06:43:08,0
Case No. 15,2,2018-05-15 06:45:57,0
Case No. 15,2,2018-05-15 06:50:02,0
Case No. 15,2,2018-05-15 07:59:54,0
Case No. 15,1,2018-05-15 08:04:18,0
Case No. 15,2,2018-05-15 08:32:13,0
Case No. 15,2,2018-05-15 08:42:49,0
Case No. 16,0,2018-05-14 13:21:10,0
